variant,algorithm,category,metric,baseline,variant_value,delta_variant_minus_baseline
equal_feature_weights,cbf,coherent_multi_track_history,history_match,0.903682,0.910445,0.006763
equal_feature_weights,cbf,coherent_multi_track_history,intra_list_diversity,0.117602,0.108688,-0.008914
equal_feature_weights,cbf,coherent_multi_track_history,distinct_artist_fraction,0.988889,0.988889,0.0
equal_feature_weights,cbf,single_track_history,history_match,0.876193,0.87947,0.003277
equal_feature_weights,cbf,single_track_history,intra_list_diversity,0.125857,0.127425,0.001568
equal_feature_weights,cbf,single_track_history,distinct_artist_fraction,1.0,1.0,0.0
equal_feature_weights,cbf,transition_conflicting_history,history_match,0.861646,0.866797,0.005151
equal_feature_weights,cbf,transition_conflicting_history,mood_match,0.716463,0.709755,-0.006708
equal_feature_weights,cbf,transition_conflicting_history,intra_list_diversity,0.125536,0.1185,-0.007036
equal_feature_weights,cbf,transition_conflicting_history,distinct_artist_fraction,1.0,1.0,0.0
equal_feature_weights,context_mmr,coherent_multi_track_history,history_match,0.905474,0.909956,0.004482
equal_feature_weights,context_mmr,coherent_multi_track_history,intra_list_diversity,0.11619,0.109612,-0.006578
equal_feature_weights,context_mmr,coherent_multi_track_history,distinct_artist_fraction,0.988889,0.988889,0.0
equal_feature_weights,context_mmr,mood_only,mood_match,0.953568,0.953093,-0.000475
equal_feature_weights,context_mmr,mood_only,intra_list_diversity,0.229248,0.240671,0.011423
equal_feature_weights,context_mmr,mood_only,distinct_artist_fraction,1.0,1.0,0.0
equal_feature_weights,context_mmr,single_track_history,history_match,0.876336,0.879049,0.002713
equal_feature_weights,context_mmr,single_track_history,intra_list_diversity,0.131985,0.133919,0.001934
equal_feature_weights,context_mmr,single_track_history,distinct_artist_fraction,1.0,1.0,0.0
equal_feature_weights,context_mmr,transition_conflicting_history,history_match,0.830368,0.827948,-0.00242
equal_feature_weights,context_mmr,transition_conflicting_history,mood_match,0.925914,0.931666,0.005752
equal_feature_weights,context_mmr,transition_conflicting_history,intra_list_diversity,0.154974,0.169728,0.014754
equal_feature_weights,context_mmr,transition_conflicting_history,distinct_artist_fraction,1.0,1.0,0.0
euclidean_relevance,cbf,coherent_multi_track_history,history_match,0.903682,0.92216,0.018478
euclidean_relevance,cbf,coherent_multi_track_history,intra_list_diversity,0.117602,0.100815,-0.016787
euclidean_relevance,cbf,coherent_multi_track_history,distinct_artist_fraction,0.988889,1.0,0.011111
euclidean_relevance,cbf,single_track_history,history_match,0.876193,0.88783,0.011637
