study,config_id,run_count,scenario_count,pool_coverage,mean_history_match,sd_history_match,mean_mood_match,sd_mood_match,mean_intra_list_diversity,sd_intra_list_diversity,mean_artist_diversity,sd_artist_diversity,mean_artist_metadata_coverage,sd_artist_metadata_coverage,mean_mean_relevance,sd_mean_relevance,mean_processing_ms,sd_processing_ms,category
cbf,current_cosine,8,8,0.078,0.8603566490316523,0.031024856714402055,0.6635240954662357,0.20632032976793066,0.12965181863583883,0.01741511440125736,1.0,0.0,0.125,0.12990381056766578,0.9854425,0.007766016916669674,36.418375,20.59198304521386,all
cbf,current_cosine,4,4,0.078,0.8603566490316523,0.031024856714402055,0.8631734667966042,0.05790929913401431,0.12965181863583883,0.01741511440125736,1.0,0.0,0.125,0.12990381056766578,0.9854425,0.007766016916669674,44.583,26.732251934694915,coherent_history
cbf,current_cosine,4,4,0.078,0.8603566490316523,0.031024856714402055,0.46387472413586717,0.0454194570606012,0.12965181863583883,0.01741511440125736,1.0,0.0,0.125,0.12990381056766578,0.9854425,0.007766016916669674,28.25375,0.35218629658179423,mood_transition
cbf,current_euclidean,8,8,0.08,0.8784745133604969,0.02625909187170835,0.6687370968830031,0.23908072794425347,0.12198122218540115,0.011483458583939319,1.0,0.0,0.1,0.1,0.8928475,0.017013990382917243,26.714000000000002,0.3186188946060794,all
cbf,current_euclidean,4,4,0.08,0.8784745133604969,0.02625909187170835,0.9045762511319375,0.029708821371908355,0.12198122218540115,0.011483458583939319,1.0,0.0,0.1,0.1,0.8928475,0.017013990382917243,26.490000000000002,0.23885141824992379,coherent_history
cbf,current_euclidean,4,4,0.08,0.8784745133604969,0.02625909187170835,0.43289794263406867,0.046865355303197985,0.12198122218540115,0.011483458583939319,1.0,0.0,0.1,0.1,0.8928475,0.017013990382917243,26.938000000000002,0.21362116000059564,mood_transition
cbf,equal_cosine,8,8,0.08,0.8642857690186995,0.03383700545667712,0.6689650840635062,0.20688863919664863,0.11980244803019566,0.01486568430431074,1.0,0.0,0.17500000000000002,0.1479019945774904,0.9837375,0.006605945712008238,28.9425,0.9692230135526085,all
cbf,equal_cosine,4,4,0.08,0.8642857690186995,0.03383700545667712,0.8724132117472776,0.03490931711149009,0.11980244803019566,0.01486568430431074,1.0,0.0,0.17500000000000002,0.1479019945774904,0.9837375,0.006605945712008238,29.00075,1.0751077562272535,coherent_history
cbf,equal_cosine,4,4,0.08,0.8642857690186995,0.03383700545667712,0.4655169563797349,0.04006090762860055,0.11980244803019566,0.01486568430431074,1.0,0.0,0.17500000000000002,0.1479019945774904,0.9837375,0.006605945712008238,28.88425,0.846252732639606,mood_transition
cbf,equal_euclidean,8,8,0.08,0.88504722891643,0.026552998373202727,0.6675244697651519,0.2363531318796559,0.11734095699198929,0.016113099378311332,1.0,0.0,0.125,0.082915619758885,0.8865575,0.018652600857521184,26.455125,0.3678910971673549,all
cbf,equal_euclidean,4,4,0.08,0.88504722891643,0.026552998373202727,0.9008816741545514,0.025840574152190043,0.11734095699198929,0.016113099378311332,1.0,0.0,0.125,0.082915619758885,0.8865575,0.018652600857521184,26.59675,0.3802593687208775,coherent_history
cbf,equal_euclidean,4,4,0.08,0.88504722891643,0.026552998373202727,0.43416726537575234,0.0463325041979947,0.11734095699198929,0.016113099378311332,1.0,0.0,0.125,0.082915619758885,0.8865575,0.018652600857521184,26.313499999999998,0.29321536453603464,mood_transition
history,window_1_recency,8,8,0.08,0.8645661647121509,0.027332342457669887,,,0.1178208201873611,0.03301382499738489,1.0,0.0,0.275,0.10897247358851685,0.9833425,0.010494866304531952,35.74,0.9739752306912127,all
history,window_1_recency,4,4,0.08,0.8645661647121509,0.027332342457669887,,,0.1178208201873611,0.03301382499738489,1.0,0.0,0.275,0.10897247358851685,0.9833425,0.010494866304531952,35.14125,0.26659742590655194,coherent_history
history,window_1_recency,4,4,0.08,0.8645661647121509,0.027332342457669887,,,0.1178208201873611,0.03301382499738489,1.0,0.0,0.275,0.10897247358851685,0.9833425,0.010494866304531952,36.33875,1.0531752881168466,mood_transition
history,window_5_equal,8,8,0.078,0.8603566490316523,0.031024856714402055,,,0.12965181863583883,0.01741511440125736,1.0,0.0,0.125,0.12990381056766578,0.9854425,0.007766016916669674,37.182625,1.083457306207771,all
history,window_5_equal,4,4,0.078,0.8603566490316523,0.031024856714402055,,,0.12965181863583883,0.01741511440125736,1.0,0.0,0.125,0.12990381056766578,0.9854425,0.007766016916669674,36.737750000000005,0.7011502602866241,coherent_history
history,window_5_equal,4,4,0.078,0.8603566490316523,0.031024856714402055,,,0.12965181863583883,0.01741511440125736,1.0,0.0,0.125,0.12990381056766578,0.9854425,0.007766016916669674,37.6275,1.2084371104861025,mood_transition
history,window_5_recency,8,8,0.078,0.8626145727126268,0.03224914514037787,,,0.1230360671780784,0.01633808026778108,1.0,0.0,0.17500000000000002,0.1479019945774904,0.983975,0.009644463437641311,36.214125,0.4591531437058875,all
history,window_5_recency,4,4,0.078,0.8626145727126268,0.03224914514037787,,,0.1230360671780784,0.01633808026778108,1.0,0.0,0.17500000000000002,0.1479019945774904,0.983975,0.009644463437641311,36.323750000000004,0.6117623619511081,coherent_history
history,window_5_recency,4,4,0.078,0.8626145727126268,0.03224914514037787,,,0.1230360671780784,0.01633808026778108,1.0,0.0,0.17500000000000002,0.1479019945774904,0.983975,0.009644463437641311,36.1045,0.15282260958379137,mood_transition
history_mood,history_0.5_mood_0.5,8,8,0.132,0.7619062629847013,0.10742934721015285,0.9193596037040132,0.03500104205116688,0.1741782302793843,0.054461782846848876,1.0,0.0,0.15,0.07071067811865475,0.91312875,0.045510338780737514,38.227375,0.39180988294707453,all
history_mood,history_0.5_mood_0.5,4,4,0.076,0.8593858301069563,0.02712189376081397,0.9380214055500615,0.03042320742820348,0.17050933086341669,0.041706990191187614,1.0,0.0,0.125,0.04330127018922193,0.955435,0.022091659625297494,38.11,0.4921834007765812,coherent_history
history_mood,history_0.5_mood_0.5,4,4,0.068,0.6644266958624464,0.057810035029757914,0.9006978018579648,0.02877583435511923,0.17784712969535194,0.06454283000502728,1.0,0.0,0.175,0.08291561975888499,0.8708224999999999,0.008643082132549683,38.34475,0.19295514375107944,mood_transition
history_mood,history_0.65_mood_0.35,8,8,0.142,0.7910184159279807,0.08342939363803445,0.8785050698187562,0.06057032516189553,0.16590899817171703,0.0518427310418082,1.0,0.0,0.1125,0.059947894041408996,0.91532375,0.04917323686150321,37.73625,0.5342983132108878,all
history_mood,history_0.65_mood_0.35,4,4,0.078,0.8657799437039304,0.02447654108713393,0.9318564182770339,0.03699911229226633,0.14989595307204406,0.0247242142775977,1.0,0.0,0.15000000000000002,0.05,0.9613674999999999,0.018970663371374222,37.637249999999995,0.4687101316378798,coherent_history
history_mood,history_0.65_mood_0.35,4,4,0.064,0.716256888152031,0.046295294698725786,0.8251537213604785,0.01660907900476795,0.18192204327139,0.06520134603958448,1.0,0.0,0.07500000000000001,0.04330127018922193,0.86928,0.015364717699977447,37.83525,0.5758977231245154,mood_transition
history_mood,history_0_mood_1,8,8,0.076,0.6864154393387315,0.12385234151410235,0.9488847164122454,0.02094498244143625,0.24898473863741888,0.0307460418142382,1.0,0.0,0.15000000000000002,0.05,0.9488875,0.020948205621245927,37.803375,0.4779963225538462,all
history_mood,history_0_mood_1,4,4,0.076,0.8026787793882819,0.03329793284782864,0.9488847164122454,0.02094498244143625,0.24898473863741888,0.0307460418142382,1.0,0.0,0.15000000000000002,0.05,0.9488875,0.020948205621245927,37.963750000000005,0.3955112988272263,coherent_history
history_mood,history_0_mood_1,4,4,0.076,0.5701520992891812,0.05035597468184308,0.9488847164122454,0.02094498244143625,0.24898473863741888,0.0307460418142382,1.0,0.0,0.15000000000000002,0.05,0.9488875,0.020948205621245927,37.643,0.49909067312463534,mood_transition
history_mood,history_1_mood_0,8,8,0.078,0.8626145727126268,0.03224914514037787,0.667400973841033,0.20983871404555704,0.1230360671780784,0.01633808026778108,1.0,0.0,0.17500000000000002,0.1479019945774904,0.983975,0.009644463437641311,37.812875,0.4396661908482388,all
history_mood,history_1_mood_0,4,4,0.078,0.8626145727126268,0.03224914514037787,0.8731378075733495,0.046082185882309314,0.1230360671780784,0.01633808026778108,1.0,0.0,0.17500000000000002,0.1479019945774904,0.983975,0.009644463437641311,38.018,0.36258309392469024,coherent_history
history_mood,history_1_mood_0,4,4,0.078,0.8626145727126268,0.03224914514037787,0.4616641401087167,0.035856860717257445,0.1230360671780784,0.01633808026778108,1.0,0.0,0.17500000000000002,0.1479019945774904,0.983975,0.009644463437641311,37.60775,0.4135138298775509,mood_transition
mmr,mmr_0,12,12,0.17,0.7910184159279807,0.08342939363803445,0.9019649520165859,0.06076846031268705,0.1936009116602843,0.0603371335274809,1.0,0.0,0.125,0.05951190357119042,0.9265116666666666,0.04481762540811618,37.01116666666667,2.5238164167695625,all
