scope,method,phase,sample_count,candidate_count,p50_ms,p95_ms,minimum_ms,maximum_ms
fixed_pool,random,fresh_service,5,500,21.2645000028715,21.963660001347307,20.682899998064386,21.988600001350278
fixed_pool,random,same_process_warm,10,500,21.14254999833065,21.707895000145072,20.380399997520726,21.95220000066911
fixed_pool,cbf,fresh_service,5,500,29.634700000315206,110.66318000157479,28.372499997203704,130.69290000203182
fixed_pool,cbf,same_process_warm,10,500,28.69594999901892,29.648390001966618,27.580199999647448,29.821100000845036
fixed_pool,context_no_mmr,fresh_service,5,500,38.24700000041048,38.31434000094305,37.17089999918244,38.32740000143531
fixed_pool,context_no_mmr,same_process_warm,10,500,38.04619999937131,40.713105000031646,37.35690000030445,42.25170000063372
fixed_pool,context_mmr,fresh_service,5,500,39.07299999991665,39.677680000750115,38.08469999785302,39.74060000109603
fixed_pool,context_mmr,same_process_warm,10,500,39.99670000121114,41.02839999941352,38.38990000076592,41.04100000040489
full_catalogue,random,fresh_service,5,964219,6624.101900000824,7292.958980002004,6537.384600000223,7434.635600002366
full_catalogue,random,same_process_warm,10,964219,6677.8629000000365,6870.713985000475,6501.717099999951,6883.703999999852
full_catalogue,cbf,fresh_service,5,964219,19762.490699999034,20601.426999999967,19419.352400000207,20638.82150000063
full_catalogue,cbf,same_process_warm,10,964219,19903.48669999912,20432.454694999433,19634.598099997675,20580.490699998336
full_catalogue,context_no_mmr,fresh_service,5,964219,26467.879800002265,27119.37168000004,26318.773999999394,27173.468799999682
full_catalogue,context_no_mmr,same_process_warm,10,964219,27011.134850001326,27556.091669999296,26653.60619999774,27699.237299999368
full_catalogue,context_mmr,fresh_service,5,964219,27032.662000001437,28174.002099999052,26806.83549999958,28323.435999998765
full_catalogue,context_mmr,same_process_warm,10,964219,26998.774599998796,27293.12834499997,26506.6599999991,27415.025199999945
